order_id,customer_id,product_id,quantity,order_date
1,609,25,7,2025-08-08
2,266,75,2,2025-08-19
3,115,35,2,2025-01-17
4,235,48,8,2025-07-08
5,868,71,4,2025-01-01
6,93,85,1,2025-02-24
7,361,94,8,2025-08-07
8,17,71,2,2025-07-15
9,827,98,9,2025-02-06
10,812,78,9,2025-02-16
11,804,77,7,2025-02-16
12,102,5,5,2025-06-28
13,504,4,2,2025-07-10
14,893,42,2,2025-08-20
15,47,75,5,2025-06-03
16,836,40,6,2025-06-17
17,818,39,2,2025-03-26
18,17,78,9,2025-05-28
19,404,24,6,2025-08-22
20,597,55,9,2025-02-21
21,927,83,8,2025-02-08
22,740,95,4,2025-04-07
23,37,13,1,2025-06-23
24,40,46,6,2025-03-21
25,292,97,8,2025-07-17
26,538,80,4,2025-06-24
27,541,38,6,2025-08-01
28,383,76,4,2025-05-13
29,668,89,8,2025-05-29
30,41,57,8,2025-08-01
31,639,45,7,2025-05-20
32,288,97,6,2025-04-17
33,386,59,5,2025-01-09
34,890,66,4,2025-09-13
35,687,20,9,2025-04-24
36,471,43,3,2025-05-17
37,12,18,1,2025-08-13
38,674,20,7,2025-05-06
39,900,52,2,2025-01-16
40,342,95,3,2025-05-30
41,651,95,6,2025-02-02
42,199,35,9,2025-08-27
43,584,70,7,2025-04-03
44,371,82,2,2025-08-26
45,697,69,3,2025-03-29
46,416,32,8,2025-04-02
47,751,81,4,2025-03-22
48,109,51,5,2025-01-11
49,944,67,1,2025-03-13
50,853,88,8,2025-05-18
51,257,47,1,2025-01-09
52,432,74,10,2025-09-07
53,671,22,1,2025-04-10
54,167,86,9,2025-01-26
55,373,85,4,2025-02-16
56,417,47,2,2025-03-20
57,825,98,4,2025-02-14
58,331,47,6,2025-02-23
59,631,54,8,2025-07-30
60,581,84,2,2025-04-11
61,25,83,7,2025-07-31
62,137,36,5,2025-05-29
63,738,4,1,2025-06-20
64,842,34,7,2025-02-14
65,73,23,1,2025-05-23
66,696,73,9,2025-07-04
67,593,91,6,2025-08-01
68,770,10,9,2025-05-11
69,120,67,10,2025-05-06
70,186,79,4,2025-03-04
71,610,53,2,2025-08-22
72,976,2,10,2025-03-26
73,323,88,1,2025-04-20
74,606,1,4,2025-09-15
75,292,84,6,2025-06-02
76,922,12,7,2025-08-29
77,859,35,8,2025-07-31
78,407,6,4,2025-08-17
79,274,34,8,2025-08-05
80,609,66,3,2025-09-01
81,431,15,1,2025-08-02
82,725,98,3,2025-08-22
83,188,84,7,2025-05-24
84,153,2,4,2025-08-12
85,931,24,5,2025-07-08
86,159,40,5,2025-01-08
87,575,94,8,2025-01-06
88,235,89,1,2025-07-16
89,107,22,8,2025-08-03
90,887,9,5,2025-03-27
91,329,29,5,2025-06-17
92,349,88,7,2025-07-29
93,856,22,10,2025-04-26
94,932,82,3,2025-01-08
95,744,38,2,2025-07-02
96,582,1,8,2025-03-23
97,662,79,5,2025-06-14
98,761,63,6,2025-03-23
99,887,14,4,2025-08-09
100,211,71,8,2025-05-28
101,44,56,8,2025-08-11
102,127,92,1,2025-06-08
103,938,23,2,2025-06-27
104,442,43,4,2025-02-01
105,101,13,3,2025-04-20
106,9,75,3,2025-08-04
107,792,56,10,2025-07-03
108,45,91,3,2025-04-05
109,892,20,9,2025-09-13
110,832,59,4,2025-05-29
111,87,19,8,2025-09-12
112,235,47,8,2025-07-15
113,306,7,5,2025-03-12
114,762,97,8,2025-03-09
115,72,85,5,2025-03-11
116,514,95,4,2025-09-10
117,624,54,3,2025-07-31
118,839,81,4,2025-05-13
119,840,45,5,2025-06-29
120,231,15,1,2025-08-13
121,931,28,4,2025-06-08
122,885,58,4,2025-05-11
123,855,75,9,2025-08-06
124,478,84,9,2025-08-08
125,883,85,3,2025-06-01
126,725,78,5,2025-06-08
127,76,12,10,2025-08-07
128,518,23,2,2025-06-08
129,915,34,1,2025-07-27
130,700,91,6,2025-03-03
131,949,58,7,2025-08-28
132,925,85,7,2025-02-28
133,400,29,7,2025-01-15
134,489,43,7,2025-09-16
135,684,77,9,2025-08-30
136,386,89,2,2025-05-14
137,378,4,2,2025-03-17
138,101,17,8,2025-06-12
139,428,33,5,2025-02-05
140,217,50,7,2025-01-27
141,364,78,1,2025-01-30
142,594,91,7,2025-06-22
143,645,85,6,2025-02-06
144,162,21,6,2025-02-11
145,262,65,3,2025-03-18
146,36,19,4,2025-07-22
147,158,75,7,2025-07-05
148,495,73,3,2025-01-24
149,976,64,2,2025-01-11
150,159,47,8,2025-01-05
151,700,84,1,2025-09-12
152,235,88,10,2025-01-12
153,570,11,10,2025-05-11
154,198,32,2,2025-04-20
155,225,15,7,2025-01-04
156,925,24,7,2025-06-30
157,797,23,8,2025-05-28
158,290,88,4,2025-02-04
159,674,77,5,2025-03-21
160,931,12,6,2025-06-01
161,858,68,5,2025-01-11
162,550,32,10,2025-05-22
163,176,8,8,2025-05-14
164,699,42,3,2025-07-05
165,180,93,1,2025-02-20
166,502,89,9,2025-06-19
167,375,5,9,2025-04-21
168,108,5,7,2025-06-19
169,871,20,3,2025-09-05
170,80,41,9,2025-08-08
171,763,62,7,2025-07-06
172,135,60,5,2025-02-07
173,452,49,1,2025-06-14
174,641,10,3,2025-02-26
175,250,52,4,2025-09-02
176,696,48,2,2025-07-14
177,395,89,5,2025-05-19
178,147,88,2,2025-08-05
179,942,95,10,2025-08-16
180,697,99,7,2025-01-17
181,62,52,6,2025-02-27
182,817,18,6,2025-04-22
183,859,52,8,2025-09-11
184,254,97,2,2025-03-09
185,781,97,4,2025-09-12
186,499,53,9,2025-01-02
187,532,62,7,2025-04-07
188,707,63,2,2025-03-30
189,663,50,3,2025-05-10
190,955,78,2,2025-05-09
191,790,40,6,2025-07-11
192,753,98,7,2025-05-10
193,104,17,7,2025-09-15
194,181,49,3,2025-03-01
195,429,68,9,2025-09-05
196,552,38,5,2025-07-22
197,441,61,1,2025-02-20
